               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              5.7899,              5.7947,               5.341,           0.0027013,            0.056086,           0.0017253,          0.00055535,                   0,                   0,                   0,             0.07014,           0.0033178,           0.0033178
                   1,              5.6917,              5.7639,              5.3363,           0.0020474,            0.037927,           0.0011885,          0.00039348,                   0,                   0,                   0,            0.039877,           0.0063877,           0.0063877
                   2,                5.69,              5.7647,              5.3325,           0.0029285,           0.0079141,          0.00075477,          0.00020549,                   0,                   0,                   0,           0.0093494,           0.0091937,           0.0091937
                   3,              5.7691,              5.6463,              5.3021,           0.0021262,            0.016565,           0.0009654,          0.00033783,                   0,                   0,                   0,            0.008812,            0.008812,            0.008812
                   4,              5.7479,              5.2583,              5.2183,           0.0023329,            0.024048,            0.001302,          0.00036312,                   0,                   0,                   0,            0.008812,            0.008812,            0.008812
                   5,              5.5293,              4.7549,              5.0172,           0.0035293,            0.020693,           0.0017884,          0.00051897,                   0,                   0,                   0,            0.008416,            0.008416,            0.008416
                   6,              5.0811,              4.3134,              4.6018,            0.011666,            0.076382,           0.0073516,           0.0019327,                   0,                   0,                   0,             0.00802,             0.00802,             0.00802
                   7,              4.6521,              4.0531,              4.1552,            0.011504,            0.068234,           0.0070385,            0.002096,                   0,                   0,                   0,            0.007624,            0.007624,            0.007624
                   8,              4.2731,              3.9157,              3.8648,              0.1573,             0.16321,            0.026208,            0.008232,                   0,                   0,                   0,            0.007228,            0.007228,            0.007228
                   9,              3.9715,              3.7997,              3.6149,            0.064906,             0.14684,            0.041393,            0.014496,                   0,                   0,                   0,            0.006832,            0.006832,            0.006832
                  10,              3.6627,              3.6244,              3.3728,             0.19972,             0.14488,            0.050503,            0.019877,                   0,                   0,                   0,            0.006436,            0.006436,            0.006436
                  11,              3.4611,              3.4573,              3.1767,             0.32556,             0.15441,            0.062907,            0.025678,                   0,                   0,                   0,             0.00604,             0.00604,             0.00604
                  12,              3.3138,              3.3855,              3.0333,             0.32724,             0.13228,            0.056824,            0.023196,                   0,                   0,                   0,            0.005644,            0.005644,            0.005644
                  13,              3.2349,              3.3298,              2.9398,             0.30324,             0.16674,            0.084225,            0.035817,                   0,                   0,                   0,            0.005248,            0.005248,            0.005248
                  14,              3.1582,              3.2364,               2.829,             0.22441,            0.078228,            0.048787,            0.020095,                   0,                   0,                   0,            0.004852,            0.004852,            0.004852
                  15,              3.0731,               3.232,              2.7908,             0.30827,             0.15671,             0.10118,            0.046433,                   0,                   0,                   0,            0.004456,            0.004456,            0.004456
                  16,              2.9793,              3.1451,              2.7234,             0.27766,             0.18665,             0.11019,            0.051903,                   0,                   0,                   0,             0.00406,             0.00406,             0.00406
                  17,              2.8934,              3.0887,               2.661,             0.26548,             0.14575,            0.088892,            0.041562,                   0,                   0,                   0,            0.003664,            0.003664,            0.003664
                  18,              2.8523,              3.0798,              2.6225,             0.24989,             0.14206,            0.090054,            0.044556,                   0,                   0,                   0,            0.003268,            0.003268,            0.003268
                  19,              2.7731,              3.0188,              2.5895,             0.18746,             0.21478,             0.14348,            0.074333,                   0,                   0,                   0,            0.002872,            0.002872,            0.002872
                  20,              2.7432,              2.9529,              2.5032,             0.18072,              0.2144,             0.13316,            0.069292,                   0,                   0,                   0,            0.002476,            0.002476,            0.002476
                  21,              2.7351,              2.9702,              2.5152,              0.3033,             0.21774,             0.13844,            0.073518,                   0,                   0,                   0,             0.00208,             0.00208,             0.00208
                  22,              2.7104,               2.897,              2.4473,             0.32856,              0.2404,             0.15914,            0.085099,                   0,                   0,                   0,            0.001684,            0.001684,            0.001684
                  23,              2.6749,              2.9104,              2.4457,             0.18039,             0.23141,             0.16032,            0.086891,                   0,                   0,                   0,            0.001288,            0.001288,            0.001288
                  24,              2.6314,                2.88,              2.4248,             0.33159,             0.22899,              0.1675,            0.093465,                   0,                   0,                   0,            0.000892,            0.000892,            0.000892
